Patch file: test_all_modules_1.pch2

Modules
Name           ID    Type  Parameters                                                                                                                        Modes    Area      Hpos    Vpos
seqNote        93     121  [64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 0, 0, 0]  []       VOICE        2      76
seqCtr         94     154  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]                   []       VOICE        2      85
NoteQuant      95      75  [127, 0]                                                                                                                          []       VOICE        4       0
KeyQuant       96     152  [127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]                                                                                      []       VOICE        4       2
PartQuant      97      22  [127]                                                                                                                             []       VOICE        4       4
NoteScaler     98      72  [0]                                                                                                                               []       VOICE        4       6
Glide          99     158  [64, 1, 0]                                                                                                                        []       VOICE        4       8
PitchTrack    100     198  [20]                                                                                                                              []       VOICE        4      10
ZeroCnt       101     160  []                                                                                                                                []       VOICE        4      12
LevScaler     102     115  [64, 64, 64, 1]                                                                                                                   []       VOICE        4      14
LfoA          103      26  [64, 0, 0, 0, 0, 1, 4, 1]                                                                                                         []       VOICE        0      69
LfoB          104     190  [64, 0, 1, 0, 0, 0, 0, 1, 4, 0]                                                                                                   []       VOICE        0      72
LfoC          105      24  [64, 0, 4, 1, 1]                                                                                                                  [0]      VOICE        0      76
LfoShpA       106      25  [64, 1, 0, 0, 1, 64, 0, 0, 0, 0, 4, 0]                                                                                            []       VOICE        0      78
ClkGen        107      68  [64, 1, 0, 2, 0]                                                                                                                  []       VOICE        0      83
EnvADSR       108      20  [0, 0, 54, 100, 14, 0, 1, 0]                                                                                                      []       VOICE        4      18
EnvH          109      41  [32, 0]                                                                                                                           []       VOICE        4      22
EnvD          110      55  [54, 0]                                                                                                                           []       VOICE        4      24
EnvADR        111      84  [0, 0, 0, 54, 1, 0, 1, 0]                                                                                                         []       VOICE        4      26
EnvAHD        112      46  [0, 0, 32, 0, 14, 0, 1]                                                                                                           []       VOICE        4      29
EnvADDSR      113     119  [1, 0, 0, 54, 100, 54, 70, 14, 1, 0, 0]                                                                                           []       VOICE        4      33
EnvMulti      114      52  [127, 45, 64, 0, 0, 30, 30, 14, 0, 2, 0, 1, 0]                                                                                    []       VOICE        4      38
ModAHD        115     169  [0, 32, 14, 0, 0, 0, 0, 1]                                                                                                        []       VOICE        4      44
ModADSR       116      23  [0, 54, 100, 14, 0, 0, 0, 0, 0, 1]                                                                                                []       VOICE        4      49
stChorus      117      94  [20, 127, 1]                                                                                                                      []       VOICE        4      55
Phaser        118     192  [0, 64, 0, 1]                                                                                                                     []       VOICE        4      58
Flanger       119      89  [64, 64, 64, 1]                                                                                                                   []       VOICE        4      60
Digitizer     120     118  [11, 64, 0, 1]                                                                                                                    []       VOICE        4      63
FreqShift     121      98  [0, 0, 2, 1]                                                                                                                      []       VOICE        4      66
PShift        122     167  [64, 64, 0, 2, 1]                                                                                                                 []       VOICE        4      69
scratch       123      63  [80, 0, 2, 1]                                                                                                                     []       VOICE        4      72
Reverb        124      12  [64, 64, 64, 1]                                                                                                                   [0]      VOICE        4      75
Compress      125     150  [18, 20, 1, 20, 30, 0, 1]                                                                                                         []       VOICE        4      78
FxIn            1     127  [0, 1, 1]                                                                                                                         []       FX           0       0

Cables
From        To    Color    Type    Area
------  --  ----  -------  ------  ------
